Series,,Number,,Year,,,
28 Days Later,,19,-1,2011,,,
1994,,21,-1,1981,,,
1994,,22,-1,1981,,,
1994,,23,-1,1982,,,
2000AD,,1715,-1,-1,,,
2000AD,,1716,-1,-1,,,
20000 AD Presents - Stone Island,,7,-1,2008,,,
A John Stanley Ha Ha Ha Ha Ha Halloween Treat,,,-1,2010,,,
The Acme Novelty Library,,20,-1,2010,,,
Action Comics,,579,-1,-1,,,
Adventure Comics,,522,-1,2011,,,
Adventure Comics,,522,-1,2011,,,
Adventure Comics,,522,-1,2011,,,
Adventure Comics,,522,-1,2011,,,
The Adventures of Snake Plissken,,,-1,1997,,,
All New Batman Brave & the Bold,,2,-1,2011,,,
All New Batman Brave & the Bold,,2,-1,2011,,,
All New Batman Brave & the Bold ,,3,-1,2011,,,
All New Collector's Edition,,62,-1,1979,,,
Alpha Flight,,13,2,1998,,,
The Amazing Spider-Man,,648,-1,2011,,,
The Amazing Spider-Man,,649,-1,2011,,,
The Amazing Spider-Man,,650,-1,2011,,,
The Amazing Spider-Man,,651,-1,2011,,,
The Amazing Spider-Man,,651,-1,2011,,,
The Amazing Spider-Man,,651,-1,2011,,,
The Amazing Spider-Man,,651,-1,2011,,,
The Amazing Spider-Man,,652,-1,2011,,,
The Amazing Spider-Man,,652,-1,2011,,,
American Vampire,,10,-1,2011,,,
The Amory Wars - In Keeping Secrets of Silent Earth 3,,7,-1,2010,,,
Angelus,,6,-1,2010,,,
Anita Blake - Circus of the Damned - The Ingenue,,1,-1,2011,,,
Anita Blake - Circus of the Damned - The Ingenue,,1,-1,2011,,,
Ant-Man & Wasp,,3,-1,2011,,,
Aquablue T09 - The Totem Of Cynos,,,-1,2009,,,
Archie,,192,-1,1969,,,
Archie's Girls Betty and Veronica,,330,-1,1984,,,
Archie's Girls Betty and Veronica,,333,-1,1984,,,
Archie's Girls Betty and Veronica,,334,-1,1985,,,
Archie's Girls Betty and Veronica,,335,-1,1985,,,
Archie's Girls Betty and Veronica,,336,-1,1985,,,
Archie's Girls Betty and Veronica,,337,-1,1985,,,
Archie Giant Series Magazine 185,,6,-1,1971,,,
Archie Giant Series Magazine 233,,4,-1,1975,,,
Arrow Comics,,,-1,1998,,,
Artifacts,,4,-1,2010,,,
The Avengers,,6,-1,2010,,,
The Avengers,,7,-1,2011,,,
The Avengers,,8,-1,2011,,,
Avengers,,3,-1,2010,,,
Avengers,,4,-1,2010,,,
Avengers,,8,-1,2011,,,
Avengers,,302,-1,1989,,,
Avengers,,303,-1,1989,,,
Avengers,,304,-1,1989,,,
Avengers,,305,-1,1989,,,
Avengers,,306,-1,1989,,,
Avengers,,307,-1,1989,,,
Avengers,,308,-1,1989,,,
Avengers,,309,-1,1989,,,
Avengers,,310,-1,1989,,,
Avengers - Earth's Mightiest Heroes,,1,-1,2011,,,
Avengers - Earth's Mightiest Heroes,,2,-1,2011,,,
Avengers - Earth's Mightiest Heroes,,3,-1,2011,,,
