b.CVDB_ID, b.Series, b.Number, b.Volume, b.FileName, b.PageCount, b.FileSize, b.ID 
None, 28 Days Later, 19, , 28 Days Later 019 (2011) (c2c) (Legion-CPS).cbz, 29, 10.6512441635, cf18eded-6d62-4de7-8ef2-c394fa1da4c7
None, 1994, 21, , 1994 21(c2c)(Warren)(1981)(YZ1).cbz, 63, 48.6554822922, 6e6b633e-3968-4d5d-a17b-3cd44863bbee
None, 1994, 22, , 1994 22(c2c)(Warren)(1981)(YZ1).cbz, 57, 44.8275756836, c257cd9a-565c-4b30-b7a2-48af61f69ce5
None, 1994, 23, , 1994 23(c2c)(Warren)(1982)(YZ1).cbz, 62, 47.3362760544, 64dd6fe1-6ed6-4fa5-9abb-ed1c9b3a9aa0
None, 2000AD, 1715, , 2000AD 1715 (fixed) (05-01-11) (John Williams-DCP).cbz, 33, 18.8998823166, 5c891903-e37f-41b1-8b74-b0085109db99
None, 2000AD, 1716, , 2000AD 1716 (fixed) (12-01-11) (John Williams-DCP).cbz, 33, 18.5472021103, 19a64a94-3801-4024-a34c-db6a19c05b07
None, 20000 AD Presents - Stone Island, 7, , 20000 AD Presents - Stone Island (2008-07) 49p (c2c) Kritter-DCP).cbz, 49, 17.8560066223, ba628b10-20a6-4f2a-a3f8-c04778f42bda
None, A John Stanley Ha Ha Ha Ha Ha Halloween Treat, , , A John Stanley Ha Ha Ha Ha Ha Halloween Treat (2010) (GreenGiant-DCP).cbz, 17, 7.72656059265, 2818f657-c70e-4f10-a720-de81fdea5cad
None, The Acme Novelty Library, 20, , The Acme Novelty Library 20 (2010) (c2c) (Minutemen-DTs).cbz, 80, 46.1290893555, c83d936a-b549-4a8e-a92b-6939fc173400
None, Action Comics, 579, , Action Comics 579 (c2c)(ActionComics-DCP).cbz, 36, 23.9886798859, 92c2d715-7db8-4c76-8dc3-80c936fcfd37
None, Adventure Comics, 522, , Adventure Comics 522 (2011) (noads) (Legion-CPS).cbz, 23, 12.1274929047, 795df7a6-7e36-4590-b4da-d3cb25d65fc8
None, Adventure Comics, 522, , Adventure Comics 522 (2011) (Avalon-SCC-DCP).cbz, 29, 18.1768007278, 8ee948e8-4c24-4f74-bed3-9bf5c4d157d8
None, Adventure Comics, 522, , Adventure Comics 522 (2011) (c2c) (Legion-CPS).cbz, 35, 18.5839443207, 8295c881-1f66-40c8-9994-0e6ff4c977ad
None, Adventure Comics, 522, , Adventure Comics 522 (2011) (Minutemen-Hawaiian Punch).cbz, 22, 21.9402894974, 87c1c00e-1e65-4e83-bd68-d776dd00b939
None, The Adventures of Snake Plissken, , , The Adventures of Snake Plissken (1997) (Citizen Pain-DCP).cbz, 25, 61.8557577133, 499a2809-345f-4c4f-a73a-09d4af0febb3
None, All New Batman Brave & the Bold, 2, , All New Batman Brave & the Bold 002 (2011) (noads) (HFB-CPS).cbz, 22, 10.8461894989, 1c4ef2f0-004d-45b1-846c-2ecb61310497
None, All New Batman Brave & the Bold, 2, , All New Batman Brave & the Bold 002 (2011) (c2c) (HFB-CPS).cbz, 36, 17.2162303925, 46cda420-b71c-42b2-b670-f7f621734a73
None, All New Batman Brave & the Bold , 3, , All New Batman Brave & the Bold 003 c2c (2011) (Jojo).cbz, 36, 34.6026964188, 1cd46ac5-16d2-45aa-9646-0caab9dd514f
